disease_id	external_id	source	url	name
DISEASE:3232	3375	Orphanet	https://www.orpha.net/en/disease/detail/3375	Trisomy
DISEASE:3233	D014328	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014328	Trophoblastic Neoplasms
DISEASE:3234	D013182	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D013182	Tropical sprue
DISEASE:3235	D014339	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014339	Truncus Arteriosus, Persistent
DISEASE:3236	D014352	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014352	Trypanosomiasis NOS
DISEASE:3237	D011274	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D011274	Tubal pregnancy NOS
DISEASE:3238	D016862	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D016862	Tuberculoma of brain
DISEASE:3239	3389	Orphanet	https://www.orpha.net/en/disease/detail/3389	Tuberculosis
DISEASE:3240	PA166048765	PharmGKB	https://www.pharmgkb.org/disease/PA166048765	Tuberculosis, Cutaneous
DISEASE:3241	D004891	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D004891	Tuberculosis cutis indurativa
DISEASE:3242	D014391	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014391	Tuberculosis, Miliary
DISEASE:3243	D018088	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D018088	Tuberculosis, Multidrug-Resistant
DISEASE:3244	D020306	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D020306	Tuberculosis of central nervous system NOS
DISEASE:3245	D014392	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014392	Tuberculosis of eye NOS
DISEASE:3246	D014385	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014385	Tuberculosis of gastrointestinal tract NOS
DISEASE:3247	D014398	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014398	Tuberculosis of kidney NOS
DISEASE:3248	D014386	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014386	Tuberculosis of liver
DISEASE:3249	D014400	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014400	Tuberculosis of spleen
DISEASE:3250	D014394	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014394	Tuberculosis, Osteoarticular
DISEASE:3251	D014397	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014397	Tuberculosis, Pulmonary
DISEASE:3252	D016862	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D016862	Tuberculous abscess of brain
DISEASE:3253	D014390	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014390	Tuberculous meningitis NOS
DISEASE:3254	D014396	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014396	Tuberculous pleurisy NOS
DISEASE:3255	805	Orphanet	https://www.orpha.net/en/disease/detail/805	Tuberous Sclerosis
DISEASE:3256	3392	Orphanet	https://www.orpha.net/en/disease/detail/3392	Tularemia NOS
DISEASE:3257	D015275	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D015275	Tumor Lysis Syndrome
DISEASE:3258	D014412	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014412	Tumor Virus Infections
DISEASE:3259	881	Orphanet	https://www.orpha.net/en/disease/detail/881	Turner Syndrome
DISEASE:3260	D014428	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014428	Twins, Conjoined
DISEASE:3261	D018058	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D018058	Tympanic membrane perforation NOS
DISEASE:3262	D014435	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014435	Typhoid Fever
DISEASE:3263	83314	Orphanet	https://www.orpha.net/en/disease/detail/83314	Typhus, Epidemic Louse-Borne
DISEASE:3264	D020176	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D020176	Tyrosinemias
DISEASE:3265	D014456	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014456	Ulcer
DISEASE:3266	D020424	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D020424	Ulnar neuropathy
DISEASE:3267	D014474	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014474	Unconsciousness
DISEASE:3268	D024182	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D024182	Uniparental Disomy
DISEASE:3269	D046449	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D046449	Unspecified abdominal cavity hernia NOS
DISEASE:3270	D003527	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D003527	Unspecified affective personality disorder
DISEASE:3271	83313	Orphanet	https://www.orpha.net/en/disease/detail/83313	Unspecified Boutonneuse fever
DISEASE:3272	D012560	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D012560	Unspecified catatonic schizophrenia
DISEASE:3273	D002832	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D002832	Unspecified choroidal hemorrhage
DISEASE:3274	D003231	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D003231	Unspecified conjunctivitis
DISEASE:3275	D015715	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D015715	Unspecified corneal edema
DISEASE:3276	D003320	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D003320	Unspecified corneal ulcer
DISEASE:3277	D003607	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D003607	Unspecified dacryocystitis
DISEASE:3278	D019955	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D019955	Unspecified disturbance of conduct
DISEASE:3279	D004774	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D004774	Unspecified entropion
DISEASE:3280	D006550	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D006550	Unspecified femoral hernia NOS
DISEASE:3281	D012562	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D012562	Unspecified hebephrenic schizophrenia
DISEASE:3282	D006677	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D006677	Unspecified histrionic personality disorder
DISEASE:3283	D000024	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000024	Unspecified illegal abortion NOS
DISEASE:3284	D006230	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D006230	Unspecified injury of hand
DISEASE:3285	D014954	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014954	Unspecified injury of wrist
DISEASE:3286	D007637	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D007637	Unspecified keratoconjunctivitis
DISEASE:3287	D007640	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D007640	Unspecified keratoconus
DISEASE:3288	D007762	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D007762	Unspecified labyrinthitis
DISEASE:3289	D006553	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D006553	Unspecified obturator hernia
DISEASE:3290	D009902	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D009902	Unspecified optic neuritis
DISEASE:3291	D010019	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D010019	Unspecified osteomyelitis NOS
DISEASE:3292	D010019	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D010019	Unspecified osteomyelitis of unspecified site
DISEASE:3293	D012563	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D012563	Unspecified paranoid schizophrenia
DISEASE:3294	D010439	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D010439	Unspecified peptic ulcer with perforation
DISEASE:3295	D011830	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D011830	Unspecified radiation effects NOS
DISEASE:3296	D012557	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D012557	Unspecified schizoid personality disorder
DISEASE:3297	D015423	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D015423	Unspecified scleritis
DISEASE:3298	D013622	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D013622	Unspecified teniasis
DISEASE:3299	D018058	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D018058	Unspecified tympanic membrane perforation
DISEASE:3300	D015001	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D015001	Unspecified yaws
DISEASE:3301	308	Orphanet	https://www.orpha.net/en/disease/detail/308	Unverricht-Lundborg syndrome
DISEASE:3302	D038062	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D038062	Upper limb anomaly, unspecified
DISEASE:3303	D014511	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014511	Uremia
DISEASE:3304	D014517	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014517	Ureteral Obstruction
DISEASE:3305	D014518	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014518	Ureterocele
DISEASE:3306	PA166048818	PharmGKB	https://www.pharmgkb.org/disease/PA166048818	Urethral Diseases
DISEASE:3307	PA166048840	PharmGKB	https://www.pharmgkb.org/disease/PA166048840	Urethral Obstruction
DISEASE:3308	D014525	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014525	Urethral Stricture
DISEASE:3309	D014526	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014526	Urethritis unspecified
DISEASE:3310	D001749	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D001749	Urinary Bladder Neoplasms
DISEASE:3311	D001750	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D001750	Urinary Bladder, Neurogenic
DISEASE:3312	PA166183362	PharmGKB	https://www.pharmgkb.org/disease/PA166183362	urinary bladder toxicity
DISEASE:3313	D014545	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014545	Urinary Calculi
DISEASE:3314	D014548	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014548	Urinary fistula NOS
DISEASE:3315	D014549	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014549	Urinary Incontinence
DISEASE:3316	D014550	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014550	Urinary Incontinence, Stress
DISEASE:3317	D016055	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D016055	Urinary Retention
DISEASE:3318	D014552	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014552	Urinary Tract Infections
DISEASE:3319	PA166048743	PharmGKB	https://www.pharmgkb.org/disease/PA166048743	Urination Disorders
DISEASE:3320	D014564	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014564	Urogenital Abnormalities
DISEASE:3321	D014565	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014565	Urogenital Neoplasms
DISEASE:3322	PA166048847	PharmGKB	https://www.pharmgkb.org/disease/PA166048847	Urological Manifestations
DISEASE:3323	D014570	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014570	Urologic Diseases
DISEASE:3324	D014571	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014571	Urologic Neoplasms
DISEASE:3325	D014581	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014581	Urticaria
DISEASE:3326	D002583	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D002583	Uterine Cervical Neoplasms
DISEASE:3327	D014592	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014592	Uterine Hemorrhage
DISEASE:3328	D014594	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014594	Uterine Neoplasms
DISEASE:3329	D014596	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014596	Uterine Prolapse
DISEASE:3330	98715	Orphanet	https://www.orpha.net/en/disease/detail/98715	Uveitis
DISEASE:3331	D014606	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014606	Uveitis, Anterior
DISEASE:3332	D014615	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014615	Vaccinia
DISEASE:3333	PA166159451	PharmGKB	https://www.pharmgkb.org/disease/PA166159451	vaginal bleeding
DISEASE:3334	D019522	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D019522	Vaginal Discharge
DISEASE:3335	D014623	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014623	Vaginal disorder NOS
DISEASE:3336	PA166159452	PharmGKB	https://www.pharmgkb.org/disease/PA166159452	vaginal dryness
DISEASE:3337	D014247	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014247	Vaginal trichomoniasis
DISEASE:3338	D014627	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014627	Vaginitis unspecified
DISEASE:3339	D014646	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014646	Varicocele
DISEASE:3340	D014648	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014648	Varicose Veins
DISEASE:3341	D050488	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D050488	Varus deformity of great toe
DISEASE:3342	D014652	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014652	Vascular Diseases
DISEASE:3343	PA166048830	PharmGKB	https://www.pharmgkb.org/disease/PA166048830	Vascular Headaches
DISEASE:3344	D014655	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014655	Vascular Resistance
DISEASE:3345	52759	Orphanet	https://www.orpha.net/en/disease/detail/52759	Vasculitis
DISEASE:3346	140989	Orphanet	https://www.orpha.net/en/disease/detail/140989	Vasculitis, Central Nervous System
DISEASE:3347	97282	Orphanet	https://www.orpha.net/en/disease/detail/97282	Vasoactive intestinal peptide-secreting tumour
DISEASE:3348	D012223	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D012223	Vasomotor rhinitis
DISEASE:3349	D054080	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D054080	Vein of Galen malformation
DISEASE:3350	D014681	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014681	Velopharyngeal inadequacy
DISEASE:3351	D054070	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D054070	Venous stasis syndrome
DISEASE:3352	D054556	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D054556	venous thromboembolism
DISEASE:3353	D020246	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D020246	Venous Thrombosis
DISEASE:3354	D014647	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014647	Venous ulcer of leg
DISEASE:3355	D053717	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D053717	Ventilator-acquired pneumonia
DISEASE:3356	D018754	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D018754	Ventricular Dysfunction
DISEASE:3357	D018487	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D018487	Ventricular Dysfunction, Left
DISEASE:3358	D018497	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D018497	Ventricular Dysfunction, Right
DISEASE:3359	D014693	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014693	Ventricular Fibrillation
DISEASE:3360	D014694	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014694	Ventricular Outflow Obstruction
DISEASE:3361	D018879	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D018879	Ventricular Premature Complexes
DISEASE:3362	D020217	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D020217	Vertebral artery dissection
DISEASE:3363	D014715	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014715	Vertebrobasilar artery syndrome
DISEASE:3364	D014717	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014717	Vertigo
DISEASE:3365	D014718	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014718	Vesico-Ureteral Reflux
DISEASE:3366	D014720	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014720	Vesicular exanthema of swine
DISEASE:3367	D006557	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D006557	Vesicular pharyngitis
DISEASE:3368	D005892	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D005892	Vincent's infection
DISEASE:3369	D008587	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D008587	Viral meningitis NOS
DISEASE:3370	D014766	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014766	Viremia
DISEASE:3371	D014777	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014777	Virus Diseases
DISEASE:3372	D014786	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014786	Vision Disorders
DISEASE:3373	D014802	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014802	Vitamin A Deficiency
DISEASE:3374	D014806	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014806	Vitamin B 12 Deficiency
DISEASE:3375	D014804	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014804	Vitamin B deficiency NOS
DISEASE:3376	D014808	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014808	Vitamin D Deficiency
DISEASE:3377	D014813	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014813	Vitamin K Deficiency
DISEASE:3378	D014820	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014820	Vitiligo
DISEASE:3379	D014826	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014826	Vocal Cord Paralysis
DISEASE:3380	D014607	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014607	Vogt-Koyanagi-Harada disease
DISEASE:3381	D014607	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014607	Vogt-Koyanagi syndrome
DISEASE:3382	D014832	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014832	Voice Disorders
DISEASE:3383	D054061	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D054061	Volkmann's ischemic contracture following injury
DISEASE:3384	D020896	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D020896	Volume depletion NOS
DISEASE:3385	D045822	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D045822	Volvulus NOS
DISEASE:3386	D014839	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014839	Vomiting
DISEASE:3387	892	Orphanet	https://www.orpha.net/en/disease/detail/892	von Hippel-Lindau Disease
DISEASE:3388	903	Orphanet	https://www.orpha.net/en/disease/detail/903	von Willebrand Disease
DISEASE:3389	D014843	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014843	Voyeurism
DISEASE:3390	D014845	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014845	Vulvar Diseases
DISEASE:3391	D014846	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014846	Vulvar Neoplasms
DISEASE:3392	D054515	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D054515	Vulvar vestibulitis
DISEASE:3393	D014847	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014847	Vulvitis unspecified
DISEASE:3394	D014848	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014848	Vulvovaginitis unspecified
DISEASE:3395	3440	Orphanet	https://www.orpha.net/en/disease/detail/3440	Waardenburg's Syndrome
DISEASE:3396	893	Orphanet	https://www.orpha.net/en/disease/detail/893	WAGR Syndrome
DISEASE:3397	33226	Orphanet	https://www.orpha.net/en/disease/detail/33226	Waldenstrom Macroglobulinemia
DISEASE:3398	D014855	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014855	Wallerian Degeneration
DISEASE:3399	D050805	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D050805	Wandering spleen
DISEASE:3400	D014860	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014860	Warts
DISEASE:3401	D019282	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D019282	Wasting Syndrome
DISEASE:3402	PA166048875	PharmGKB	https://www.pharmgkb.org/disease/PA166048875	Water-Electrolyte Imbalance
DISEASE:3403	D014869	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014869	Water intoxication syndrome
DISEASE:3404	900	Orphanet	https://www.orpha.net/en/disease/detail/900	Wegener Granulomatosis
DISEASE:3405	D015430	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D015430	Weight gain
DISEASE:3406	D014895	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014895	Weil Disease
DISEASE:3407	902	Orphanet	https://www.orpha.net/en/disease/detail/902	Werner Syndrome
DISEASE:3408	D014899	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014899	Wernicke's disease
DISEASE:3409	D001041	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D001041	Wernicke's dysphasia
DISEASE:3410	D014901	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014901	West Nile Fever
DISEASE:3411	D014911	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014911	Whiplash Injuries
DISEASE:3412	3452	Orphanet	https://www.orpha.net/en/disease/detail/3452	Whipple Disease
DISEASE:3413	D007960	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D007960	White blood cell disease NOS
DISEASE:3414	D007972	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D007972	White sponge naevus
DISEASE:3415	1489	Orphanet	https://www.orpha.net/en/disease/detail/1489	Whooping Cough
DISEASE:3416	904	Orphanet	https://www.orpha.net/en/disease/detail/904	Williams Syndrome
DISEASE:3417	654	Orphanet	https://www.orpha.net/en/disease/detail/654	Wilms Tumor
DISEASE:3418	906	Orphanet	https://www.orpha.net/en/disease/detail/906	Wiskott-Aldrich Syndrome
DISEASE:3419	D014924	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014924	Wissler-Fanconi syndrome
DISEASE:3420	D014927	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014927	Wolff-Parkinson-White pattern
DISEASE:3421	3463	Orphanet	https://www.orpha.net/en/disease/detail/3463	Wolfram Syndrome
DISEASE:3422	D014946	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014946	Wound Infection
DISEASE:3423	D014947	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014947	Wounds and Injuries
DISEASE:3424	D014948	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014948	Wounds, Gunshot
DISEASE:3425	D014949	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014949	Wounds, Nonpenetrating
DISEASE:3426	D014951	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014951	Wounds, Stab
DISEASE:3427	PA161149039	PharmGKB	https://www.pharmgkb.org/disease/PA161149039	xanthinuria
DISEASE:3428	158000	Orphanet	https://www.orpha.net/en/disease/detail/158000	Xanthogranuloma, Juvenile
DISEASE:3429	D011705	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D011705	Xanthogranulomatous pyelonephritis
DISEASE:3430	D014973	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D014973	Xanthomatosis
DISEASE:3431	909	Orphanet	https://www.orpha.net/en/disease/detail/909	Xanthomatosis, Cerebrotendinous
DISEASE:3432	75233	Orphanet	https://www.orpha.net/en/disease/detail/75233	Xanthomatosis, familial
DISEASE:3433	910	Orphanet	https://www.orpha.net/en/disease/detail/910	Xeroderma Pigmentosum
DISEASE:3434	D053307	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D053307	X-linked hyper-IgM syndrome
DISEASE:3435	PA153626883	PharmGKB	https://www.pharmgkb.org/disease/PA153626883	X-linked mental retardation with marfanoid habitus syndrome
DISEASE:3436	D053632	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D053632	X-linked severe combined immunodeficiency
DISEASE:3437	D016711	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D016711	Yang Deficiency
DISEASE:3438	99829	Orphanet	https://www.orpha.net/en/disease/detail/99829	Yellow fever unspecified
DISEASE:3439	PA166048817	PharmGKB	https://www.pharmgkb.org/disease/PA166048817	Young Child
DISEASE:3440	912	Orphanet	https://www.orpha.net/en/disease/detail/912	Zellweger Syndrome
DISEASE:3441	D016672	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D016672	Zenker's diverticulum
DISEASE:3442	D015043	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D015043	Zollinger-Ellison Syndrome
DISEASE:3443	73263	Orphanet	https://www.orpha.net/en/disease/detail/73263	Zygomycosis
DISEASE:3444	166024	Orphanet	https://www.orpha.net/en/disease/detail/166024	Multiple epiphyseal dysplasia, Al-Gazali type
DISEASE:3445	166032	Orphanet	https://www.orpha.net/en/disease/detail/166032	Multiple epiphyseal dysplasia-miniepiphyses syndrome
DISEASE:3446	166029	Orphanet	https://www.orpha.net/en/disease/detail/166029	Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome
DISEASE:3448	166035	Orphanet	https://www.orpha.net/en/disease/detail/166035	Brachydactyly-short stature-retinitis pigmentosa syndrome
DISEASE:3449	585	Orphanet	https://www.orpha.net/en/disease/detail/585	Multiple sulfatase deficiency
DISEASE:3450	166068	Orphanet	https://www.orpha.net/en/disease/detail/166068	Pontocerebellar hypoplasia, type 5
DISEASE:3451	166063	Orphanet	https://www.orpha.net/en/disease/detail/166063	Pontocerebellar hypoplasia type 4
DISEASE:3452	166078	Orphanet	https://www.orpha.net/en/disease/detail/166078	Von willebrand disease, type 1
DISEASE:3453	206	Orphanet	https://www.orpha.net/en/disease/detail/206	 Crohn disease
DISEASE:3454	166073	Orphanet	https://www.orpha.net/en/disease/detail/166073	Pontocerebellar hypoplasia, type 6
DISEASE:3455	213	Orphanet	https://www.orpha.net/en/disease/detail/213	Cystinosis
DISEASE:3456	166084	Orphanet	https://www.orpha.net/en/disease/detail/166084	Von Willebrand disease type 2A
DISEASE:3457	333	Orphanet	https://www.orpha.net/en/disease/detail/333	Farber disease
DISEASE:3461	366	Orphanet	https://www.orpha.net/en/disease/detail/366	Glycogen storage disease due to glycogen debranching enzyme deficiency
DISEASE:3463	166096	Orphanet	https://www.orpha.net/en/disease/detail/166096	von Willebrand disease, type 3
DISEASE:3464	367	Orphanet	https://www.orpha.net/en/disease/detail/367	Glycogen storage disease due to glycogen branching enzyme deficiency
DISEASE:3465	166100	Orphanet	https://www.orpha.net/en/disease/detail/166100	Autosomal dominant otospondylomegaepiphyseal dysplasia
DISEASE:3466	371	Orphanet	https://www.orpha.net/en/disease/detail/371	Glycogen storage disease due to muscle phosphofructokinase deficiency
DISEASE:3468	369	Orphanet	https://www.orpha.net/en/disease/detail/369	Glycogen storage disease due to liver glycogen phosphorylase deficiency
DISEASE:3469	166108	Orphanet	https://www.orpha.net/en/disease/detail/166108	Intellectual disability, Birk-Barel type
DISEASE:3470	166113	Orphanet	https://www.orpha.net/en/disease/detail/166113	Bazex syndrome
DISEASE:3471	166119	Orphanet	https://www.orpha.net/en/disease/detail/166119	Isolated osteopoikilosis
DISEASE:3472	487	Orphanet	https://www.orpha.net/en/disease/detail/487	Krabbe disease
DISEASE:3473	166260	Orphanet	https://www.orpha.net/en/disease/detail/166260	Dentinogenesis imperfecta 1
DISEASE:3474	166265	Orphanet	https://www.orpha.net/en/disease/detail/166265	Dentinogenesis imperfecta, shields type III
DISEASE:3475	583	Orphanet	https://www.orpha.net/en/disease/detail/583	Mucopolysaccharidosis type 6
DISEASE:3476	166272	Orphanet	https://www.orpha.net/en/disease/detail/166272	Odontochondrodysplasia
DISEASE:3477	576	Orphanet	https://www.orpha.net/en/disease/detail/576	Mucolipidosis type II
DISEASE:3478	166277	Orphanet	https://www.orpha.net/en/disease/detail/166277	Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia
DISEASE:3479	812	Orphanet	https://www.orpha.net/en/disease/detail/812	Sialidosis type 1
DISEASE:3480	578	Orphanet	https://www.orpha.net/en/disease/detail/578	Mucolipidosis type IV
DISEASE:3481	166286	Orphanet	https://www.orpha.net/en/disease/detail/166286	Porokeratotic eccrine ostial and dermal duct nevus
DISEASE:3482	577	Orphanet	https://www.orpha.net/en/disease/detail/577	Mucolipidosis type III
DISEASE:3495	166418	Orphanet	https://www.orpha.net/en/disease/detail/166418	Eating reflex epilepsy
DISEASE:3496	166415	Orphanet	https://www.orpha.net/en/disease/detail/166415	Audiogenic seizures
