disease_id	external_id	source	url	name
DISEASE:57	D019283	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D019283	Acute necrotizing pancreatitis
DISEASE:58	D005892	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D005892	Acute necrotizing ulcerative gingivostomatitis
DISEASE:59	D011052	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D011052	Acute paralytic poliomyelitis, bulbar
DISEASE:60	D000210	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000210	Acute-Phase Reaction
DISEASE:61	D040701	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D040701	Acute stress reaction NOS
DISEASE:62	D013969	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D013969	Acute suppurative thyroiditis
DISEASE:63	D005892	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D005892	Acute ulcerative gingivitis
DISEASE:64	85138	Orphanet	https://www.orpha.net/en/disease/detail/85138	Addison Disease
DISEASE:65	D000230	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000230	Adenocarcinoma
DISEASE:66	D002282	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D002282	Adenocarcinoma, Bronchiolo-Alveolar
DISEASE:67	D002288	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D002288	Adenocarcinoma, Mucinous
DISEASE:68	D000231	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000231	Adenocarcinoma, Papillary
DISEASE:69	D000235	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000235	Adenolymphoma
DISEASE:70	D000236	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000236	Adenoma
DISEASE:71	D007516	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D007516	Adenoma, Islet Cell
DISEASE:72	54272	Orphanet	https://www.orpha.net/en/disease/detail/54272	Adenoma, Liver Cell
DISEASE:73	D018249	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D018249	Adenoma, Oxyphilic
DISEASE:74	D008949	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D008949	Adenoma, Pleomorphic
DISEASE:75	733	Orphanet	https://www.orpha.net/en/disease/detail/733	Adenomatous Polyposis Coli
DISEASE:76	D018256	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D018256	Adenomatous Polyps
DISEASE:77	D000257	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000257	Adenoviridae Infections
DISEASE:78	PA166048900	PharmGKB	https://www.pharmgkb.org/disease/PA166048900	Adenovirus Infections, Human
DISEASE:79	D000267	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000267	Adhesion
DISEASE:80	PA166048866	PharmGKB	https://www.pharmgkb.org/disease/PA166048866	Adnexal Diseases
DISEASE:81	PA166048907	PharmGKB	https://www.pharmgkb.org/disease/PA166048907	Adolescent
DISEASE:82	PA166048777	PharmGKB	https://www.pharmgkb.org/disease/PA166048777	Adrenal Cortex Diseases
DISEASE:83	PA166048902	PharmGKB	https://www.pharmgkb.org/disease/PA166048902	Adrenal Cortex Neoplasms
DISEASE:84	D000307	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000307	Adrenal gland disorder NOS
DISEASE:85	418	Orphanet	https://www.orpha.net/en/disease/detail/418	Adrenal Hyperplasia, Congenital
DISEASE:86	PA166048741	PharmGKB	https://www.pharmgkb.org/disease/PA166048741	Adrenal Insufficiency
DISEASE:87	D018246	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D018246	Adrenocortical Adenoma
DISEASE:88	1501	Orphanet	https://www.orpha.net/en/disease/detail/1501	Adrenocortical Carcinoma
DISEASE:89	D000308	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000308	Adrenocortical Hyperfunction
DISEASE:90	181412	Orphanet	https://www.orpha.net/en/disease/detail/181412	Adrenogenital syndrome NOS
DISEASE:91	43	Orphanet	https://www.orpha.net/en/disease/detail/43	Adrenoleukodystrophy
DISEASE:92	D016706	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D016706	Adult onset Still's disease
DISEASE:93	D003527	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D003527	Affective personality disorder NOS
DISEASE:94	D000347	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000347	Afibrinogenemia
DISEASE:95	D000355	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000355	African horse sickness
DISEASE:96	D000357	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000357	African swine fever
DISEASE:97	3385	Orphanet	https://www.orpha.net/en/disease/detail/3385	African trypanosomiasis NOS
DISEASE:98	D000360	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000360	Afterimage
DISEASE:99	183669	Orphanet	https://www.orpha.net/en/disease/detail/183669	Agammaglobulinemia
DISEASE:100	PA166129558	PharmGKB	https://www.pharmgkb.org/disease/PA166129558	aggression
DISEASE:101	D010520	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D010520	Aggressive Periodontitis
DISEASE:102	PA166257721	PharmGKB	https://www.pharmgkb.org/disease/PA166257721	aging
DISEASE:103	79389	Orphanet	https://www.orpha.net/en/disease/detail/79389	Aging, Premature
DISEASE:104	PA166123306	PharmGKB	https://www.pharmgkb.org/disease/PA166123306	agitation
DISEASE:105	D000379	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000379	Agoraphobia
DISEASE:106	D000380	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000380	Agranulocytosis
DISEASE:107	D000381	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D000381	Agraphia
DISEASE:108	PA166048738	PharmGKB	https://www.pharmgkb.org/disease/PA166048738	AIDS-Related Opportunistic Infections
