entity_id	external_id	source	url	name
PROTEIN:12537	O43541	UniProt	https://www.uniprot.org/uniprot/O43541	Mothers against decapentaplegic homolog 6 (MAD homolog 6)
PROTEIN:12538	O15105	UniProt	https://www.uniprot.org/uniprot/O15105	Mothers against decapentaplegic homolog 7 (MAD homolog 7)
PROTEIN:12539	Q9UHP9	UniProt	https://www.uniprot.org/uniprot/Q9UHP9	Small muscular protein (Stretch-responsive skeletal muscle protein)
PROTEIN:12540	Q2TAY7	UniProt	https://www.uniprot.org/uniprot/Q2TAY7	 WD40 repeat-containing protein SMU1, N-terminally processed]
PROTEIN:12541	Q9HCE7	UniProt	https://www.uniprot.org/uniprot/Q9HCE7	E3 ubiquitin-protein ligase SMURF1 (hSMURF1)
PROTEIN:12542	Q9HAU4	UniProt	https://www.uniprot.org/uniprot/Q9HAU4	E3 ubiquitin-protein ligase SMURF2 (hSMURF2)
PROTEIN:12543	Q53HV7	UniProt	https://www.uniprot.org/uniprot/Q53HV7	Single-strand selective monofunctional uracil DNA glycosylase (EC 3.2.2.-)
PROTEIN:12544	Q13884	UniProt	https://www.uniprot.org/uniprot/Q13884	Beta-1-syntrophin (59 kDa dystrophin-associated protein A1 basic component 1)
PROTEIN:12545	Q13425	UniProt	https://www.uniprot.org/uniprot/Q13425	Beta-2-syntrophin (59 kDa dystrophin-associated protein A1 basic component 2)
PROTEIN:12546	Q9NSN8	UniProt	https://www.uniprot.org/uniprot/Q9NSN8	Gamma-1-syntrophin (G1SYN)
PROTEIN:12547	Q9NY99	UniProt	https://www.uniprot.org/uniprot/Q9NY99	Gamma-2-syntrophin (G2SYN)
